Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ih4   26   RS @LAT  L(96-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   26   RS @LAT  L(96-105)  0  1  1096   3  10   2   5   1   5   2   2   0   0   0   3   2   2  0  1  1   0  1  1   9   2   0 -26  29  55   19    8   0   1   1   0  A
   Jc4   26   RS @LAT  L(96-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ec2   26   RS @LAT  L(96-105)  0  1   600   1   5   1   5   0   0   0   0   0   1   0   2   1   3  1  2  3   0  0  0   2   0   0 -14  19  33    5    0   0   0   0   0  A
   Ej5   26   RS @LAT  L(96-105)  0  1   931   2   7   1   6   1   1   2   2   0   1   0   1   1   5  1  0  1   4  1  1   7   0   0 -23  29  52   22   14   0   1   0   1  A
   Jg1   26   RS @LAT  L(96-105)  0  0   987   3   6   3   5   0   1   2   2   0   0   1   2   2   3  0  0  0   2  1  1   8   4   2 -12  37  49   10    3   1   0   1   0  A
   Ia2   26   RS @LAT  L(96-105)  0  0  1800   7  15   7  15   0   0   1   2   1   1   5   9   2   6  2  8 10   0  1  1  15  11   4   5  77  72   16    0   1   0   1   0  A
   Ie9   28   RS @RAY  L(97-119)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   He5   28   RS @RAY  L(97-119)  0  1  1291   1   3   1   2   0   1   3   4   0   0   1   1   0   1  2  1  3   0  2  2   5   5   0 -23  45  68    5    0   1   1   2   0  A
   Hi3   28   RS @RAY  L(97-119)  0  0   600   3   9   2   4   1   5   0   0   0   0   2   2   0   2  2  1  3   2  1  0   7   4   2 -11  16  27   14    5   0   1   0   0  A
  Kj10   28   RS @RAY  L(97-119)  0  0   306   0   3   0   1   0   2   1   3   0   0   0   0   0   1  0  0  0   1  0  1   1   0   0  -1  12  13    7    3   0   0   0   1  A
   Ga5   28   RS @RAY  L(97-119)  0  0  1494   4   5   4   5   0   0   0   0   0   0   2   2   2   3  2  5  7   1  1  0   8   4   0 -17  66  83    6    1   1   0   0   0  A
   Fa7   28   RS @RAY  L(97-119)  0  0   710   1   5   1   5   0   0   0   0   1   1   1   1   0   4  3  1  4   0  0  0   2   2   2   0  26  26    6    1   0   0   0   0  A
   Ih4   28   RS @RAY  L(97-119)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   28   RS @RAY  L(97-119)  0  1  2094   9  14   6  10   3   4   5   5   0   0   4   6   2   4  0  4  4   4  1  2  26   8   5 -21  85 106   31   15   0   1   0   2  A
   Jc4   28   RS @RAY  L(97-119)  0  0   306   1   3   1   3   0   0   0   0   0   0   1   3   0   0  1  0  1   0  1  0   2   2   0  -1  12  13    3    0   1   0   0   0  A
   Ec2   28   RS @RAY  L(97-119)  0  1  1305   2   7   2   7   0   0   0   0   1   1   2   5   0   2  3  3  6   0  1  0   4   4   2  -4  57  61    7    0   1   0   0   0  A
   Ej5   28   RS @RAY  L(97-119)  0  1  1494   5  14   3   8   2   6   2   2   0   0   2   3   1   5  1  0  1  12  2  1  14   4   0 -10  69  79   37   22   0   2   0   1  A
   Jg1   28   RS @RAY  L(97-119)  0  0   306   2   5   1   3   1   2   0   0   1   1   1   2   0   1  2  0  2   0  1  0   5   2   2  -1  12  13    6    1   0   1   0   0  A
   Ia2   28   RS @RAY  L(97-119)  0  1  2094   8  14   8  13   0   1   7  12   0   0   5   6   3   7  1  9 10   0  2  6  23  17   1 -21  85 106   22    2   1   1   6   0  A
   Ie9   31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   He5   31   RS vHAR   L(90-96)  0  1  2400   6  16   5  10   1   6   2   2   0   1   4   7   1   3  1  9 10   0  0  1  15   8   2  -6  90  96   17    0   0   0   0   1  A
   Hi3   31   RS vHAR   L(90-96)  0  0   490   2   6   1   4   1   2   0   0   0   0   1   3   0   1  1  0  1   1  0  0   5   2   3  -9  14  23    9    3   0   0   0   0  A
  Kj10   31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga5   31   RS vHAR   L(90-96)  0  1  2400   6  12   6  10   0   2   2   2   2   2   5   7   1   3  4  9 13   1  1  1  14  12   8  -6  90  96   14    1   1   0   1   0  A
   Fa7   31   RS vHAR   L(90-96)  0  1   842   3   7   3   6   0   1   0   0   0   0   3   5   0   1  2  5  7   0  2  0   6   6   2  -3  37  40    7    0   1   1   0   0  A
   Ih4   31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   31   RS vHAR   L(90-96)  0  1  1780   7  18   3   7   4  11   3   3   0   0   3   5   0   2  0  2  2   3  3  1  21   6   2  -3  70  73   25    6   1   2   0   1  A
   Jc4   31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ec2   31   RS vHAR   L(90-96)  0  0  1558   3   7   3   7   0   0   3   4   0   0   1   2   2   5  6  2  8   0  0  2   9   5   0  -3  53  56    9    0   0   0   2   0  A
   Ej5   31   RS vHAR   L(90-96)  0  1  2400   7  18   4  11   3   7   3   3   0   0   0   0   4  11  2  3  5  19  3  1  20   0   5  -6  90  96   63   44   2   1   0   1  A
   Jg1   31   RS vHAR   L(90-96)  0  0   130   0   2   0   2   0   0   0   0   0   0   0   0   0   2  0  0  0   0  0  0   0   0   0   6   6   0    2    0   0   0   0   0  A
   Ia2   31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ie9   38   RS @HAR  L(83-105)  0  1  1997   9  13   9  12   0   1   0   0   0   0   6   8   3   4  0  3  3   1  1  0  18  12   0 -22  69  91   15    2   0   1   0   0  A
   He5   38   RS @HAR  L(83-105)  0  0   403   1   2   0   1   1   1   0   0   0   0   0   1   0   0  0  2  2   0  1  0   3   0   0   0  14  14    2    0   0   1   0   0  A
   Hi3   38   RS @HAR  L(83-105)  0  0  1568   6  13   5   7   1   6   0   0   2   2   4   5   1   2  2  1  3   9  3  0  13   8   6  -7  53  60   29   16   1   2   0   0  A
  Kj10   38   RS @HAR  L(83-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga5   38   RS @HAR  L(83-105)  0  1  1800   3  10   3  10   0   0   0   0   0   0   3   8   0   2  2  5  7   0  0  0   6   6   2 -18  62  80   10    0   0   0   0   0  A
   Fa7   38   RS @HAR  L(83-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ih4   38   RS @HAR  L(83-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   38   RS @HAR  L(83-105)  0  1   832   2   8   1   1   1   7   0   0   0   0   0   0   1   1  0  0  0   3  1  0   5   0   0 -15  30  45   14    6   0   1   0   0  A
   Jc4   38   RS @HAR  L(83-105)  0  0   403   1   3   1   3   0   0   1   2   0   0   1   1   0   2  1  2  3   0  0  1   3   3   3   0  14  14    4    0   0   0   1   0  A
   Ec2   38   RS @HAR  L(83-105)  0  0   600   2   5   2   5   0   0   0   0   0   0   1   3   1   2  0  1  1   0  0  0   4   2   2  -4  21  25    5    0   0   0   0   0  A
   Ej5   38   RS @HAR  L(83-105)  0  1  1200   2   7   2   6   0   1   2   2   0   0   1   1   1   5  0  1  1   6  0  1   6   2   2 -16  43  59   23   15   0   0   0   1  A
   Jg1   38   RS @HAR  L(83-105)  0  0  1200   1   3   1   2   0   1   0   0   0   0   0   1   1   1  3  3  6   2  1  0   2   0   0  -6  40  46    8    5   0   1   0   0  A
   Ia2   38   RS @HAR  L(83-105)  0  1  1997  10  21  10  21   0   0   3   6   1   2   5  12   5   9  7  5 12   0  1  3  23  12   5 -22  69  91   25    1   1   0   2   1  A
   Ie9   39   RS vKEN   W(97-88)  0  1  2400  11  17  11  14   0   3   0   0   0   0   4   6   7   8  1 12 13   1  0  0  22   8   0   9  97  88   18    1   0   0   0   0  A
   He5   39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Hi3   39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  Kj10   39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga5   39   RS vKEN   W(97-88)  0  1   993   4   6   4   5   0   1   0   0   1   1   3   3   1   2  1  6  7   0  3  0   8   6   2  17  49  32    6    0   2   1   0   0  A
   Fa7   39   RS vKEN   W(97-88)  0  0   714   2   7   2   7   0   0   4   4   0   0   1   2   1   5  0  3  3   0  0  2   8   6   0  -6  25  31    9    0   0   0   2   0  A
