Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Fi3   33   RS vLAT   W(99-76)  0  0   405   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   2  0  0   2   2   0   1  15  14    8    7   0   0   0   0  A
   Kf2   33   RS vLAT   W(99-76)  0  0   405   0   3   0   2   0   1   5   5   0   0   0   2   0   0  0  1  1   0  0  2   5   0   0   1  15  14    5    0   0   0   0   2  A
   If1   33   RS vLAT   W(99-76)  0  1  1800   5  13   4   9   1   4   7   9   1   1   1   2   3   7  1  7  8   5  2  3  18   2   2  23  75  52   25    9   1   1   0   3  A
  He10   33   RS vLAT   W(99-76)  0  0   600   2   4   2   4   0   0   5   8   0   0   1   1   1   3  0  4  4   0  0  4   9   2   0   0  24  24    8    0   0   0   0   4  A
   Ie8   33   RS vLAT   W(99-76)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Eg6   33   RS vLAT   W(99-76)  0  0   195   0   2   0   1   0   1   0   0   0   0   0   0   0   1  0  0  0   0  0  0   0   0   0  -1   9  10    3    1   0   0   0   0  A
   Ja3   33   RS vLAT   W(99-76)  0  1  1800   7  10   7  10   0   0   4   6   0   0   7   9   0   1  2  9 11   0  2  3  18  18   0  23  75  52   15    2   1   1   3   0  A
  Kc11   33   RS vLAT   W(99-76)  0  1  1331   5   7   5   7   0   0   0   0   2   2   5   7   0   0  3  3  6   0  3  0  10  10   6   3  53  50    7    0   3   0   0   0  A
   Ji7   33   RS vLAT   W(99-76)  0  1  1995   7  13   7  12   0   1   0   0   0   0   2   4   5   8  0  5  5  11  0  0  14   4   2  22  84  62   35   22   0   0   0   0  A
   Jc5   33   RS vLAT   W(99-76)  0  0   405   1   2   1   2   0   0   0   0   0   0   0   0   1   2  1  1  2   0  1  0   2   0   0   1  15  14    2    0   0   1   0   0  A
   Fj3   33   RS vLAT   W(99-76)  0  1  1800   4   9   3   6   1   3   4   5   0   0   0   1   3   5  2  2  4   3  0  2  13   0   0  23  75  52   18    7   0   0   0   2  A
